序号,学号,学院,专业,班级,加权平均成绩,算术平均成绩,能力评价总分,基本素质总分,综合评价总分,加权平均成绩年级专业排名,科研创新总分排名,专业技能总分排名,文体特长总分排名,团学工作总分排名,社会实践总分排名,必修课程门数,必修课程及格门数,体测成绩
2465,201503080128,金融学院,投资学,投资1601,23.12,20.14,0,0,12.72/105,105/105,38/105,63/105,13/105,34/105,15/105,18,2,不合格
2466,1603090104,金融学院,金融工程,金工1601,95.27,95.07,12.50,100,71.15/61,1/61,1/61,5/61,7/61,1/61,3/61,14,14,合格
2467,1603090140,金融学院,金融工程,金工1601,95.16,94.92,11.00,100,70.64/61,3/61,2/61,2/61,7/61,4/61,3/61,13,13,合格
2468,1604070202,金融学院,金融工程,金工1601,94.52,94.08,8.95,100,69.67/61,4/61,10/61,3/61,2/61,8/61,1/61,13,13,合格
2469,1603090141,金融学院,金融工程,金工1601,93.65,93.79,8.15,100,68.95/61,8/61,11/61,1/61,7/61,5/61,2/61,19,19,合格
2470,1603090136,金融学院,金融工程,金工1601,94.16,93.92,4.40,100,68.11/61,6/61,5/61,15/61,3/61,1/61,3/61,13,13,合格
2471,1603090109,金融学院,金融工程,金工1601,93.33,93.41,5.30,100,67.92/61,10/61,11/61,4/61,7/61,7/61,3/61,17,17,合格
2472,1603090112,金融学院,金融工程,金工1601,95.25,95.33,1.50,100,67.84/61,2/61,11/61,11/61,7/61,14/61,3/61,15,15,合格
2473,1603090105,金融学院,金融工程,金工1601,94.27,94.25,2.30,100,67.54/61,5/61,11/61,11/61,4/61,9/61,3/61,16,16,合格
2474,1603090122,金融学院,金融工程,金工1601,93.96,93.90,2.62,100,67.46/61,7/61,11/61,8/61,7/61,14/61,3/61,20,20,合格
2475,1603090153,金融学院,金融工程,金工1601,92.65,92.80,4.42,100,67.28/61,11/61,3/61,18/61,7/61,14/61,3/61,15,15,合格
2476,1603090133,金融学院,金融工程,金工1601,92.63,93.07,4.05,100,67.16/61,12/61,5/61,6/61,7/61,14/61,3/61,14,14,合格
2477,1603090113,金融学院,金融工程,金工1601,93.38,93.15,1.30,100,66.75/61,9/61,11/61,18/61,6/61,11/61,3/61,13,13,合格
2478,1603090110,金融学院,金融工程,金工1601,91.91,92.00,2.65,100,66.35/61,15/61,11/61,9/61,7/61,11/61,3/61,15,15,合格
2479,1603090130,金融学院,金融工程,金工1601,92.46,92.33,1.50,100,66.30/61,13/61,5/61,25/61,7/61,14/61,3/61,15,15,合格
2480,1603090119,金融学院,金融工程,金工1601,92.00,92.00,1.12,100,65.94/61,14/61,11/61,17/61,7/61,14/61,3/61,11,11,合格
2481,1606080132,金融学院,金融工程,金工1601,90.84,91.12,2.92,100,65.84/61,17/61,11/61,7/61,7/61,14/61,3/61,17,17,合格
2482,1603090144,金融学院,金融工程,金工1601,91.44,92.00,0.67,100,65.49/61,16/61,11/61,24/61,7/61,14/61,3/61,18,18,合格
2483,1603090154,金融学院,金融工程,金工1601,90.66,91.24,1.55,100,65.33/61,18/61,11/61,18/61,4/61,9/61,3/61,17,17,合格
2484,1603090152,金融学院,金融工程,金工1601,90.38,90.31,1.95,100,65.29/61,19/61,11/61,10/61,7/61,14/61,3/61,16,16,合格
2485,1603090108,金融学院,金融工程,金工1601,90.38,90.88,0.22,100,64.78/61,19/61,11/61,27/61,7/61,14/61,3/61,17,17,合格
2486,1603090147,金融学院,金融工程,金工1601,89.91,90.27,0.75,100,64.68/61,22/61,11/61,18/61,7/61,14/61,3/61,15,15,合格
2487,1603090111,金融学院,金融工程,金工1601,90.26,91.18,0.00,100,64.64/61,21/61,11/61,28/61,7/61,14/61,3/61,17,17,合格
2488,1603090145,金融学院,金融工程,金工1601,89.71,89.50,0.75,100,64.57/61,25/61,11/61,18/61,7/61,14/61,3/61,16,16,合格
2489,1603090149,金融学院,金融工程,金工1601,88.81,88.77,1.60,100,64.33/61,29/61,11/61,15/61,7/61,11/61,3/61,13,13,合格
2490,1603090137,金融学院,金融工程,金工1601,88.74,88.69,1.35,100,64.21/61,30/61,11/61,14/61,7/61,14/61,3/61,13,13,合格
2491,1603090125,金融学院,金融工程,金工1601,88.61,88.67,1.05,100,64.05/61,32/61,5/61,28/61,7/61,14/61,3/61,15,15,合格
2492,1603090148,金融学院,金融工程,金工1601,88.06,88.73,0.75,100,63.66/61,35/61,11/61,18/61,7/61,14/61,3/61,15,15,合格
2493,1603090161,金融学院,金融工程,金工1601,84.75,85.21,2.05,100,62.23/61,43/61,5/61,28/61,7/61,5/61,3/61,14,14,合格
2494,1603090156,金融学院,金融工程,金工1601,81.07,82.39,7.60,100,61.87/61,49/61,4/61,11/61,1/61,1/61,3/61,18,18,合格
2495,1603090131,金融学院,金融工程,金工1601,84.79,85.88,0.45,100,61.77/61,42/61,11/61,25/61,7/61,14/61,3/61,17,16,合格
2496,1603090115,金融学院,金融工程,金工1601,89.90,90.59,0,0,49.45/61,23/61,11/61,28/61,7/61,14/61,3/61,17,17,合格
2497,1603090160,金融学院,金融工程,金工1601,89.77,90.71,0,0,49.37/61,24/61,11/61,28/61,7/61,14/61,3/61,17,17,合格
2498,1603090103,金融学院,金融工程,金工1601,89.42,89.31,0,0,49.18/61,26/61,11/61,28/61,7/61,14/61,3/61,13,13,不合格
2499,1609050146,金融学院,金融工程,金工1601,89.38,89.94,0,0,49.16/61,27/61,11/61,28/61,7/61,14/61,3/61,17,17,合格
2500,1603090142,金融学院,金融工程,金工1601,89.09,89.07,0,0,49.00/61,28/61,11/61,28/61,7/61,14/61,3/61,14,14,合格
2501,1603090157,金融学院,金融工程,金工1601,88.70,89.44,0,0,48.79/61,31/61,11/61,28/61,7/61,14/61,3/61,19,19,合格
2502,1603090121,金融学院,金融工程,金工1601,88.51,88.87,0,0,48.68/61,33/61,11/61,28/61,7/61,14/61,3/61,15,15,合格
2503,1603090102,金融学院,金融工程,金工1601,88.49,89.00,0,0,48.67/61,34/61,11/61,28/61,7/61,14/61,3/61,15,15,合格
2504,1603090139,金融学院,金融工程,金工1601,87.61,88.41,0,0,48.19/61,36/61,11/61,28/61,7/61,14/61,3/61,17,17,合格
2505,1603090150,金融学院,金融工程,金工1601,87.32,87.88,0,0,48.03/61,37/61,11/61,28/61,7/61,14/61,3/61,17,17,合格
2506,1603090127,金融学院,金融工程,金工1601,86.87,87.67,0,0,47.78/61,38/61,11/61,28/61,7/61,14/61,3/61,21,21,不合格
2507,1603090106,金融学院,金融工程,金工1601,86.54,87.27,0,0,47.60/61,39/61,11/61,28/61,7/61,14/61,3/61,15,15,合格
2508,1603090116,金融学院,金融工程,金工1601,86.11,87.06,0,0,47.36/61,40/61,11/61,28/61,7/61,14/61,3/61,16,16,合格
2509,1603090143,金融学院,金融工程,金工1601,85.95,86.88,0,0,47.27/61,41/61,11/61,28/61,7/61,14/61,3/61,17,17,合格
2510,1603090146,金融学院,金融工程,金工1601,84.33,85.13,0,0,46.38/61,44/61,11/61,28/61,7/61,14/61,3/61,16,16,不合格
2511,1603090128,金融学院,金融工程,金工1601,83.12,84.59,0,0,45.72/61,45/61,11/61,28/61,7/61,14/61,3/61,22,22,不合格
2512,1603090118,金融学院,金融工程,金工1601,82.65,82.63,0,0,45.46/61,46/61,11/61,28/61,7/61,14/61,3/61,17,16,合格
2513,1603090117,金融学院,金融工程,金工1601,82.52,82.94,0,0,45.39/61,47/61,11/61,28/61,7/61,14/61,3/61,18,18,不合格
2514,1603090129,金融学院,金融工程,金工1601,82.28,83.47,0,0,45.25/61,48/61,11/61,28/61,7/61,14/61,3/61,19,19,合格
2515,1603090120,金融学院,金融工程,金工1601,80.10,80.89,0,0,44.06/61,50/61,11/61,28/61,7/61,14/61,3/61,18,17,合格
2516,1603090155,金融学院,金融工程,金工1601,78.95,79.29,0,0,43.42/61,51/61,11/61,28/61,7/61,14/61,3/61,17,17,不合格
2517,1603090124,金融学院,金融工程,金工1601,78.00,80.23,0,0,42.90/61,52/61,11/61,28/61,7/61,14/61,3/61,22,21,合格
2518,1603090114,金融学院,金融工程,金工1601,77.47,80.32,0,0,42.61/61,53/61,11/61,28/61,7/61,14/61,3/61,22,21,不合格
2519,1603090126,金融学院,金融工程,金工1601,75.90,77.76,0,0,41.75/61,54/61,11/61,28/61,7/61,14/61,3/61,18,17,不合格
2520,1603090151,金融学院,金融工程,金工1601,75.46,77.10,0,0,41.50/61,55/61,11/61,28/61,7/61,14/61,3/61,21,20,不合格
2521,1603090162,金融学院,金融工程,金工1601,75.19,78.00,0,0,41.35/61,56/61,11/61,28/61,7/61,14/61,3/61,21,21,合格
2522,1603090158,金融学院,金融工程,金工1601,75.08,77.33,0,0,41.29/61,57/61,11/61,28/61,7/61,14/61,3/61,15,14,合格
2523,1603090107,金融学院,金融工程,金工1601,72.94,73.67,0,0,40.12/61,58/61,11/61,28/61,7/61,14/61,3/61,16,14,不合格
2524,1603090159,金融学院,金融工程,金工1601,70.17,74.00,0,0,38.59/61,59/61,11/61,28/61,7/61,14/61,3/61,17,15,合格
2525,201503090149,金融学院,金融工程,金工1601,66.89,68.18,0,0,36.79/61,60/61,11/61,28/61,7/61,14/61,3/61,18,15,合格
2526,1603090101,金融学院,金融工程,金工1601,65.25,62.24,0,0,35.89/61,61/61,11/61,28/61,7/61,14/61,3/61,21,16,合格
2527,1603100117,金融学院,房地产开发与管理,房产1601,93.29,93.80,5.02,100,67.82/48,1/48,10/48,3/48,10/48,7/48,2/48,15,15,合格
2528,1603100150,金融学院,房地产开发与管理,房产1601,93.20,93.13,4.08,100,67.48/48,2/48,10/48,1/48,7/48,7/48,9/48,15,15,合格
2529,1603100124,金融学院,房地产开发与管理,房产1601,91.07,92.00,4.25,100,66.36/48,4/48,10/48,4/48,7/48,2/48,4/48,18,18,合格
2530,1603100118,金融学院,房地产开发与管理,房产1601,92.00,92.29,1.88,100,66.16/48,3/48,10/48,21/48,10/48,3/48,4/48,17,17,合格
2531,1603100152,金融学院,房地产开发与管理,房产1601,90.86,91.88,2.55,100,65.74/48,5/48,3/48,16/48,10/48,10/48,9/48,16,16,合格
2532,1603100106,金融学院,房地产开发与管理,房产1601,89.32,90.24,5.25,100,65.70/48,10/48,7/48,5/48,10/48,1/48,4/48,17,17,合格
2533,1603100112,金融学院,房地产开发与管理,房产1601,90.30,90.82,2.80,100,65.50/48,7/48,9/48,12/48,4/48,10/48,4/48,17,17,合格
2534,1603100125,金融学院,房地产开发与管理,房产1601,90.50,91.00,1.58,100,65.25/48,6/48,10/48,16/48,7/48,10/48,9/48,15,15,合格
2535,1603100110,金融学院,房地产开发与管理,房产1601,90.23,91.29,1.95,100,65.21/48,8/48,10/48,10/48,10/48,10/48,9/48,17,17,合格
2536,1603100139,金融学院,房地产开发与管理,房产1601,88.00,88.50,5.98,100,65.19/48,14/48,7/48,11/48,10/48,4/48,1/48,16,16,合格
2537,1603100122,金融学院,房地产开发与管理,房产1601,87.71,88.57,6.35,100,65.15/48,16/48,1/48,5/48,10/48,10/48,9/48,14,14,合格
2538,1603100103,金融学院,房地产开发与管理,房产1601,89.39,89.72,1.55,100,64.63/48,9/48,10/48,21/48,10/48,4/48,9/48,18,18,合格
2539,1603100147,金融学院,房地产开发与管理,房产1601,88.16,89.07,2.25,100,64.16/48,12/48,10/48,7/48,10/48,10/48,9/48,15,15,合格
2540,1603100105,金融学院,房地产开发与管理,房产1601,87.61,88.64,3.15,100,64.13/48,17/48,10/48,12/48,1/48,10/48,9/48,22,22,合格
2541,1603100159,金融学院,房地产开发与管理,房产1601,88.11,89.00,1.50,100,63.91/48,13/48,3/48,24/48,10/48,10/48,9/48,17,17,合格
2542,1603100135,金融学院,房地产开发与管理,房产1601,85.62,86.26,5.25,100,63.67/48,24/48,3/48,1/48,5/48,10/48,9/48,19,19,合格
2543,1603100158,金融学院,房地产开发与管理,房产1601,87.00,87.88,2.25,100,63.52/48,19/48,10/48,16/48,3/48,10/48,9/48,17,17,合格
2544,1603100148,金融学院,房地产开发与管理,房产1601,87.55,89.11,0.75,100,63.38/48,18/48,10/48,21/48,10/48,10/48,9/48,18,18,合格
2545,1603100123,金融学院,房地产开发与管理,房产1601,87.84,88.94,0.00,100,63.31/48,15/48,10/48,26/48,10/48,10/48,9/48,17,17,合格
2546,1603100160,金融学院,房地产开发与管理,房产1601,86.44,87.83,2.25,100,63.22/48,22/48,10/48,7/48,10/48,10/48,9/48,18,18,合格
2547,1603100153,金融学院,房地产开发与管理,房产1601,86.81,87.69,1.12,100,63.08/48,21/48,10/48,26/48,2/48,10/48,9/48,13,13,合格
2548,1603100157,金融学院,房地产开发与管理,房产1601,84.56,86.12,3.15,100,62.45/48,29/48,3/48,24/48,10/48,7/48,2/48,17,17,合格
2549,1603100163,金融学院,房地产开发与管理,房产1601,84.91,85.93,1.20,100,62.06/48,27/48,10/48,20/48,10/48,10/48,9/48,15,15,合格
2550,1603100126,金融学院,房地产开发与管理,房产1601,83.31,85.19,3.40,100,61.84/48,34/48,2/48,12/48,10/48,10/48,9/48,16,16,合格
2551,1603100115,金融学院,房地产开发与管理,房产1601,82.87,84.31,1.65,100,61.07/48,35/48,10/48,12/48,10/48,10/48,9/48,16,16,合格
2552,1603100120,金融学院,房地产开发与管理,房产1601,81.27,83.62,2.62,100,60.48/48,38/48,10/48,19/48,5/48,6/48,4/48,21,21,合格
2553,1603100121,金融学院,房地产开发与管理,房产1601,80.59,82.56,2.10,100,59.95/48,40/48,10/48,9/48,10/48,10/48,9/48,16,16,合格
2554,1603100127,金融学院,房地产开发与管理,房产1601,88.56,89.15,0,0,48.71/48,11/48,10/48,26/48,10/48,10/48,9/48,13,13,合格
2555,1603100101,金融学院,房地产开发与管理,房产1601,86.88,87.93,0,0,47.78/48,20/48,10/48,26/48,10/48,10/48,9/48,14,14,合格
2556,1603100114,金融学院,房地产开发与管理,房产1601,85.79,86.81,0,0,47.18/48,23/48,10/48,26/48,10/48,10/48,9/48,16,16,合格
2557,1603100151,金融学院,房地产开发与管理,房产1601,85.23,85.94,0,0,46.88/48,25/48,10/48,26/48,10/48,10/48,9/48,17,17,合格
2558,1603100133,金融学院,房地产开发与管理,房产1601,85.12,86.22,0,0,46.82/48,26/48,10/48,26/48,10/48,10/48,9/48,18,18,不合格
2559,1603100140,金融学院,房地产开发与管理,房产1601,84.89,85.47,0,0,46.69/48,28/48,10/48,26/48,10/48,10/48,9/48,15,15,合格
2560,1603100145,金融学院,房地产开发与管理,房产1601,84.45,85.71,0,0,46.45/48,30/48,10/48,26/48,10/48,10/48,9/48,17,17,不合格
2561,1603100146,金融学院,房地产开发与管理,房产1601,84.44,85.13,0,0,46.44/48,31/48,10/48,26/48,10/48,10/48,9/48,15,15,不合格
2562,1603100143,金融学院,房地产开发与管理,房产1601,83.70,85.00,0,0,46.04/48,32/48,10/48,26/48,10/48,10/48,9/48,16,16,合格
2563,1603100107,金融学院,房地产开发与管理,房产1601,83.40,85.33,0,0,45.87/48,33/48,10/48,26/48,10/48,10/48,9/48,18,18,合格
2564,1603100111,金融学院,房地产开发与管理,房产1601,82.85,84.00,0,0,45.57/48,36/48,10/48,26/48,10/48,10/48,9/48,14,14,合格
2565,1603100116,金融学院,房地产开发与管理,房产1601,82.24,83.53,0,0,45.23/48,37/48,10/48,26/48,10/48,10/48,9/48,19,19,合格
2566,1603100141,金融学院,房地产开发与管理,房产1601,81.27,81.50,0,0,44.70/48,38/48,10/48,26/48,10/48,10/48,9/48,16,16,合格
2567,1603100108,金融学院,房地产开发与管理,房产1601,80.06,82.88,0,0,44.03/48,41/48,10/48,26/48,10/48,10/48,9/48,24,24,合格
2568,1603100131,金融学院,房地产开发与管理,房产1601,79.83,81.59,0,0,43.91/48,42/48,10/48,26/48,10/48,10/48,9/48,17,17,合格
2569,1603100130,金融学院,房地产开发与管理,房产1601,78.63,81.30,0,0,43.25/48,43/48,10/48,26/48,10/48,10/48,9/48,20,20,合格
2570,1603100132,金融学院,房地产开发与管理,房产1601,76.53,79.68,0,0,42.09/48,44/48,10/48,26/48,10/48,10/48,9/48,19,19,合格
2571,1603100136,金融学院,房地产开发与管理,房产1601,73.94,75.29,0,0,40.67/48,45/48,10/48,26/48,10/48,10/48,9/48,21,20,不合格
2572,1603100154,金融学院,房地产开发与管理,房产1601,73.64,77.84,0,0,40.50/48,46/48,10/48,26/48,10/48,10/48,9/48,20,18,合格
2573,1603100161,金融学院,房地产开发与管理,房产1601,68.88,71.63,0,0,37.88/48,47/48,10/48,26/48,10/48,10/48,9/48,25,21,合格
2574,201503100156,金融学院,房地产开发与管理,房产1601,33.89,35.15,0,0,18.64/48,48/48,10/48,26/48,10/48,10/48,9/48,15,7,合格
2575,1603010130,金融学院,金融学(CFA),CFA1601,97.06,97.10,10.70,100,71.59/57,1/57,8/57,1/57,9/57,8/57,5/57,21,21,合格
2576,1603080230,金融学院,金融学(CFA),CFA1601,94.59,95.06,11.15,100,70.37/57,5/57,1/57,19/57,4/57,11/57,1/57,16,16,合格
2577,1603010116,金融学院,金融学(CFA),CFA1601,95.84,96.13,7.80,100,70.05/57,3/57,5/57,3/57,10/57,2/57,5/57,15,15,合格
2578,1603010131,金融学院,金融学(CFA),CFA1601,95.12,95.40,6.80,100,69.36/57,4/57,8/57,2/57,10/57,5/57,5/57,15,15,合格
2579,1603010225,金融学院,金融学(CFA),CFA1601,95.88,95.56,3.95,100,68.92/57,2/57,8/57,7/57,10/57,8/57,5/57,16,16,合格
2580,1603030137,金融学院,金融学(CFA),CFA1601,92.61,93.29,9.58,100,68.81/57,15/57,1/57,4/57,10/57,2/57,5/57,14,14,合格
2581,1603050134,金融学院,金融学(CFA),CFA1601,92.89,93.40,5.95,100,67.87/57,14/57,8/57,8/57,1/57,11/57,5/57,15,15,合格
2582,1603050120,金融学院,金融学(CFA),CFA1601,93.25,93.63,5.15,100,67.83/57,13/57,8/57,6/57,10/57,17/57,3/57,19,19,合格
2583,1603050102,金融学院,金融学(CFA),CFA1601,93.32,94.67,3.35,100,67.33/57,12/57,3/57,25/57,10/57,11/57,5/57,15,15,合格
2584,1603080105,金融学院,金融学(CFA),CFA1601,93.98,94.50,2.00,100,67.29/57,6/57,8/57,30/57,10/57,17/57,3/57,18,18,合格
2585,1603010209,金融学院,金融学(CFA),CFA1601,93.72,93.64,2.45,100,67.28/57,9/57,8/57,28/57,3/57,8/57,5/57,11,11,合格
2586,1603010219,金融学院,金融学(CFA),CFA1601,93.95,93.44,1.95,100,67.26/57,7/57,8/57,12/57,10/57,17/57,5/57,16,16,合格
2587,1606060126,金融学院,金融学(CFA),CFA1601,93.38,94.00,3.00,100,67.26/57,11/57,8/57,8/57,10/57,17/57,5/57,17,17,合格
2588,1606030122,金融学院,金融学(CFA),CFA1601,93.83,93.77,1.90,100,67.18/57,8/57,8/57,19/57,10/57,11/57,5/57,13,13,合格
2589,1603050123,金融学院,金融学(CFA),CFA1601,93.67,94.07,1.98,100,67.11/57,10/57,8/57,25/57,7/57,11/57,5/57,14,14,合格
2590,1603090123,金融学院,金融学(CFA),CFA1601,91.72,91.33,5.05,100,66.96/57,18/57,5/57,30/57,2/57,4/57,5/57,15,15,合格
2591,1603090132,金融学院,金融学(CFA),CFA1601,91.43,91.41,4.05,100,66.50/57,21/57,8/57,5/57,10/57,17/57,5/57,17,17,合格
2592,1603050131,金融学院,金融学(CFA),CFA1601,91.55,91.77,3.25,100,66.33/57,20/57,3/57,19/57,10/57,17/57,5/57,13,13,合格
2593,1603050110,金融学院,金融学(CFA),CFA1601,92.07,92.57,1.98,100,66.23/57,16/57,8/57,25/57,7/57,11/57,5/57,14,14,合格
2594,1603140140,金融学院,金融学(CFA),CFA1601,91.16,91.35,3.45,100,66.17/57,24/57,8/57,10/57,4/57,17/57,5/57,20,20,合格
2595,1603140132,金融学院,金融学(CFA),CFA1601,91.28,91.81,3.00,100,66.10/57,22/57,5/57,12/57,10/57,17/57,5/57,16,16,合格
2596,1603140150,金融学院,金融学(CFA),CFA1601,91.65,92.07,1.95,100,65.99/57,19/57,8/57,12/57,10/57,17/57,5/57,14,14,合格
2597,1603010126,金融学院,金融学(CFA),CFA1601,90.50,91.00,4.00,100,65.98/57,26/57,8/57,19/57,10/57,17/57,2/57,12,12,合格
2598,1603010113,金融学院,金融学(CFA),CFA1601,91.26,91.47,2.45,100,65.93/57,23/57,8/57,16/57,10/57,5/57,5/57,15,15,合格
2599,1603010250,金融学院,金融学(CFA),CFA1601,91.78,92.13,0.00,100,65.48/57,17/57,8/57,37/57,10/57,17/57,5/57,15,15,合格
2600,1603010141,金融学院,金融学(CFA),CFA1601,90.23,90.00,2.80,100,65.47/57,29/57,8/57,19/57,10/57,1/57,5/57,15,15,合格
2601,1603080228,金融学院,金融学(CFA),CFA1601,90.76,90.77,1.65,100,65.41/57,25/57,8/57,16/57,10/57,17/57,5/57,13,13,合格
2602,1603010230,金融学院,金融学(CFA),CFA1601,90.00,90.23,2.70,100,65.31/57,31/57,8/57,10/57,10/57,17/57,5/57,13,13,合格
2603,1603100119,金融学院,金融学(CFA),CFA1601,90.48,90.46,0.90,100,65.03/57,27/57,8/57,28/57,10/57,17/57,5/57,13,13,合格
2604,1603090138,金融学院,金融学(CFA),CFA1601,90.47,90.62,0.75,100,64.98/57,28/57,8/57,30/57,10/57,17/57,5/57,13,13,合格
2605,1603080117,金融学院,金融学(CFA),CFA1601,90.19,90.57,0.75,100,64.83/57,30/57,8/57,30/57,10/57,17/57,5/57,14,14,合格
2606,1603080129,金融学院,金融学(CFA),CFA1601,89.23,89.79,2.40,100,64.80/57,35/57,8/57,16/57,4/57,17/57,5/57,20,20,合格
2607,1603090134,金融学院,金融学(CFA),CFA1601,89.67,89.52,1.50,100,64.77/57,33/57,8/57,19/57,10/57,17/57,5/57,21,21,合格
2608,1603010221,金融学院,金融学(CFA),CFA1601,88.97,89.31,1.95,100,64.52/57,36/57,8/57,12/57,10/57,17/57,5/57,13,13,合格
2609,1603080138,金融学院,金融学(CFA),CFA1601,89.88,89.82,0.00,100,64.43/57,32/57,8/57,37/57,10/57,17/57,5/57,11,11,合格
2610,1603080246,金融学院,金融学(CFA),CFA1601,89.38,89.38,0.00,100,64.16/57,34/57,8/57,37/57,10/57,17/57,5/57,13,13,合格
2611,1603050133,金融学院,金融学(CFA),CFA1601,88.18,89.23,0.75,100,63.72/57,37/57,8/57,30/57,10/57,17/57,5/57,13,13,合格
2612,1603030120,金融学院,金融学(CFA),CFA1601,87.72,87.94,0.75,100,63.47/57,39/57,8/57,30/57,10/57,17/57,5/57,18,18,合格
2613,1603010123,金融学院,金融学(CFA),CFA1601,86.94,87.87,0.00,100,62.82/57,41/57,8/57,37/57,10/57,17/57,5/57,15,15,不合格
2614,1603080139,金融学院,金融学(CFA),CFA1601,82.09,82.50,0.00,100,60.15/57,46/57,8/57,37/57,10/57,17/57,5/57,14,14,合格
2615,1603140106,金融学院,金融学(CFA),CFA1601,80.70,82.57,1.25,100,59.76/57,48/57,8/57,36/57,10/57,5/57,5/57,21,21,合格
2616,1603030119,金融学院,金融学(CFA),CFA1601,74.00,77.76,0.00,100,55.70/57,51/57,8/57,37/57,10/57,17/57,5/57,17,16,合格
2617,1603010136,金融学院,金融学(CFA),CFA1601,87.97,87.62,0,0,48.38/57,38/57,8/57,37/57,10/57,17/57,5/57,13,13,合格
2618,1603010227,金融学院,金融学(CFA),CFA1601,87.46,87.71,0,0,48.10/57,40/57,8/57,37/57,10/57,17/57,5/57,17,17,合格
2619,1603030144,金融学院,金融学(CFA),CFA1601,85.97,86.77,0,0,47.28/57,42/57,8/57,37/57,10/57,17/57,5/57,13,13,合格
2620,1603150111,金融学院,金融学(CFA),CFA1601,85.16,84.86,0,0,46.84/57,43/57,8/57,37/57,10/57,17/57,5/57,14,14,不合格
2621,1603080229,金融学院,金融学(CFA),CFA1601,82.53,83.40,0,0,45.39/57,44/57,8/57,37/57,10/57,17/57,5/57,15,15,合格
2622,1603090135,金融学院,金融学(CFA),CFA1601,82.25,83.45,0,0,45.24/57,45/57,8/57,37/57,10/57,17/57,5/57,11,11,合格
2623,1603140135,金融学院,金融学(CFA),CFA1601,81.48,82.57,0,0,44.81/57,47/57,8/57,37/57,10/57,17/57,5/57,21,20,合格
2624,1603010239,金融学院,金融学(CFA),CFA1601,80.16,80.57,0,0,44.09/57,49/57,8/57,37/57,10/57,17/57,5/57,14,13,合格
2625,1603140110,金融学院,金融学(CFA),CFA1601,77.03,79.31,0,0,42.37/57,50/57,8/57,37/57,10/57,17/57,5/57,16,15,合格
2626,1603010124,金融学院,金融学(CFA),CFA1601,64.77,66.29,0,0,35.62/57,52/57,8/57,37/57,10/57,17/57,5/57,17,14,不合格
2627,1603030145,金融学院,金融学(CFA),CFA1601,62.75,68.40,0,0,34.51/57,53/57,8/57,37/57,10/57,17/57,5/57,20,16,不合格
2628,201503090110,金融学院,金融学(CFA),CFA1601,56.74,56.42,0,0,31.21/57,54/57,8/57,37/57,10/57,17/57,5/57,12,9,不合格
2629,201503100110,金融学院,金融学(CFA),CFA1601,47.63,49.00,0,0,26.20/57,55/57,8/57,37/57,10/57,17/57,5/57,18,10,合格
2630,201503080234,金融学院,金融学(CFA),CFA1601,23.93,22.81,0,0,13.16/57,56/57,8/57,37/57,10/57,17/57,5/57,17,4,不合格
2631,1603140104,金融学院,工程造价,造价1601,92.26,93.40,11.75,100,69.27/47,7/47,1/47,2/47,7/47,3/47,2/47,15,15,合格
2632,1603140102,金融学院,工程造价,造价1601,92.78,93.22,10.00,100,69.03/47,4/47,7/47,1/47,2/47,7/47,4/47,18,18,合格
2633,1603140130,金融学院,工程造价,造价1601,92.39,92.39,5.30,100,67.40/47,5/47,7/47,3/47,7/47,8/47,4/47,18,18,合格
2634,1603140134,金融学院,工程造价,造价1601,94.35,94.62,0.75,100,67.12/47,1/47,7/47,13/47,7/47,16/47,4/47,13,13,合格
2635,1603140113,金融学院,工程造价,造价1601,93.61,93.67,0.50,100,66.64/47,2/47,7/47,20/47,7/47,10/47,4/47,15,15,合格
2636,1603140136,金融学院,工程造价,造价1601,91.57,92.13,4.05,100,66.58/47,8/47,4/47,13/47,7/47,2/47,4/47,15,15,合格
2637,1603140121,金融学院,工程造价,造价1601,92.97,93.31,1.20,100,66.49/47,3/47,7/47,10/47,7/47,16/47,4/47,13,13,合格
2638,1603140118,金融学院,工程造价,造价1601,90.74,91.67,4.15,100,66.15/47,9/47,7/47,5/47,1/47,14/47,4/47,15,15,合格
2639,1603140115,金融学院,工程造价,造价1601,90.15,90.79,5.20,100,66.14/47,14/47,2/47,7/47,3/47,4/47,4/47,14,14,合格
2640,1603140144,金融学院,工程造价,造价1601,92.32,92.77,0.75,100,66.00/47,6/47,7/47,13/47,7/47,16/47,4/47,13,13,合格
2641,1603140145,金融学院,工程造价,造价1601,90.56,91.21,3.50,100,65.86/47,11/47,7/47,11/47,7/47,1/47,4/47,14,14,合格
2642,1603140146,金融学院,工程造价,造价1601,90.60,91.27,3.00,100,65.73/47,10/47,4/47,13/47,7/47,4/47,4/47,15,15,合格
2643,1603140131,金融学院,工程造价,造价1601,90.53,91.15,1.25,100,65.17/47,13/47,7/47,13/47,7/47,10/47,4/47,13,13,合格
2644,1609010105,金融学院,工程造价,造价1601,89.71,89.93,2.25,100,65.02/47,16/47,7/47,5/47,7/47,16/47,4/47,14,14,合格
2645,1603140105,金融学院,工程造价,造价1601,90.55,91.38,0.00,100,64.80/47,12/47,7/47,20/47,7/47,16/47,4/47,13,13,合格
2646,1603140122,金融学院,工程造价,造价1601,88.93,89.25,1.55,100,64.38/47,19/47,7/47,13/47,7/47,8/47,4/47,16,16,合格
2647,1603140107,金融学院,工程造价,造价1601,89.22,90.00,0.75,100,64.30/47,17/47,7/47,13/47,7/47,16/47,4/47,17,17,合格
