序号,学号,性别,民族,学院,专业,班级,荣誉级别,荣誉类型,荣誉名称,颁奖单位,获得荣誉时间
401,201721080238,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-06
402,201721030083,女,汉族,金融学院,金融工程,金工1701,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-23
403,201721060482,男,汉族,工商管理学院,管理科学,管科1701,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-05-04
404,201721050118,男,汉族,刑事司法学院,治安学,治安1701,院级,优秀学生组织主要负责人,刑事司法学院_综合表彰之优秀团队,共青团刑事司法学院委员会,2019-04-04
405,201821080301,女,土家族,会计学院（会计硕士专业学位教育中心）,会计学,会计1803,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-29
406,201821100003,女,壮族,公共管理学院（公共管理硕士专业学位教育中心）,劳动关系,劳动1801,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
407,201721060018,男,汉族,统计与数学学院,经济统计学（数/统中英）,国统1701,院级,团学先进个人,综合表彰之优秀学生,各学院,2019-04-12
408,201821020060,男,汉族,经济学院,经济学,经济1803,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-09
409,201721040324,女,汉族,法学院,法学,民商1701,校级,团学先进个人,优秀（先锋）共青团员,共青团中南财经政法大学委员会,2019-05-04
410,1611080125,女,汉族,外国语学院,商务英语,商英1601,院级,团学先进个人,外国语学院-综合表彰-个人荣誉称号,共青团中南财经政法大学外国语学院分团委,2019-05-04
411,201512030109,男,汉族,工商管理学院,工商管理,工商1702,院级,团学先进个人,榜样工商-十佳青年（团队）,工商管理学院,2019-05-30
412,1601040123,男,汉族,哲学院,社会学,社会1601,院级,团学先进个人,哲学院-年度表彰-优秀个人,哲学院,2018-12-06
413,201721080195,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1702,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
414,201721050038,男,汉族,刑事司法学院,边防管理,边管1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-17
415,1610010117,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1601,校级,团学先进个人,模范团干,共青团中南财经政法大学委员会,2019-05-04
416,1608020120,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1601,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
417,201821020039,女,汉族,经济学院,经济学,经济1802,院级,团学先进个人,优秀学生干事,各学院团委,2019-04-16
418,201721080268,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1702,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-05-04
419,201821080109,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1801,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-23
420,201729020298,男,羌族,经济学院,经济学,经济1703,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
421,201721030273,男,汉族,金融学院,金融工程,金工1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
422,201721140171,女,汉族,哲学院,社会学,社会1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
423,201721060118,女,汉族,工商管理学院,农林经济管理,农经1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
424,201821130017,男,汉族,信息与安全工程学院,计算机类,信息1803,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-05-15
425,1603140109,女,汉族,金融学院,工程造价,造价1601,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-22
426,1609100117,女,汉族,统计与数学学院,经济统计学,经统1601,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
427,201721070192,女,汉族,财政税务学院,税收学,税务1701,院级,团学先进个人,综合表彰之优秀学生,各学院,2018-12-15
428,201821050206,女,汉族,刑事司法学院,公安学类,公安1804,院级,优秀学生组织主要负责人,刑事司法学院_学年综合表彰之优秀团队奖,共青团刑事司法学院委员会,2018-12-10
429,201721070190,男,汉族,财政税务学院,财政学,财政1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-13
430,201821070134,女,汉族,财政税务学院,财政学类,财政1805,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-09-09
431,201821120099,女,汉族,新闻与文化传播学院,新闻传播学类,新闻1802,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-06-06
432,201821040658,女,汉族,法学院,法学类,法1813,院级,团学先进个人,校大运会院级综合表彰,各学院,2018-11-08
433,201821120189,女,汉族,新闻与文化传播学院,新闻传播学类,新闻1803,院级,团学先进个人,新闻之星,新闻与文化传播学院,2018-12-01
434,201721040024,女,汉族,法学院,法学,法制1701,院级,团学先进个人,法学院-年度综合表彰-个人荣誉称号,法学院,2018-12-25
435,201721040810,男,土家族,法学院,法学,法1704,院级,团学先进个人,校大运会院级综合表彰,各学院,2018-11-11
436,201821070172,男,汉族,财政税务学院,财政学类,财政1804,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-08
437,201721140159,女,汉族,哲学院,国际政治,国政1701,院级,团学先进个人,哲学院-年度表彰-优秀个人,哲学院,2019-05-04
438,201821140090,男,汉族,经济学院,国际商务（中法）,国商1803,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-04-16
439,201821100263,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1802,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
440,1609120105,男,汉族,统计与数学学院,金融数学,金数1601,院级,团学先进个人,统计与数学学院-综合表彰之“十佳新星”,统计与数学学院,2018-12-15
441,1603030128,女,汉族,金融学院,工程管理,工程1601,院级,团学先进个人,优秀（先锋）共青团员,各学院（综合表彰）,2019-05-04
442,201821020224,女,汉族,经济学院,经济学（实验）,经济实验1801,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-23
443,1611060110,女,汉族,外国语学院,法语,法语1601,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-01
444,1606080148,女,汉族,工商管理学院,农林经济管理,农经1601,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
445,201821110071,女,汉族,外国语学院,外国语言文学类,英语1805,院级,团学先进个人,外国语学院-综合表彰-个人荣誉称号,共青团中南财经政法大学外国语学院分团委,2019-05-04
446,201721130135,女,汉族,金融学院,金融学,金融1702,校级,团学先进个人,党校党员发展对象培训优秀学员,中共中南财经政法大学委员会党校,2019-04-26
447,1612040108,男,汉族,新闻与文化传播学院,网络与新媒体,网媒1601,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
448,201821050017,女,回族,刑事司法学院,公安学类,公安1802,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
449,201821020072,男,汉族,经济学院,经济学,经济1802,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
450,201821140117,女,汉族,金融学院,金融学（中美）,国金1801,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-20
451,201721100052,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,城市管理,城管1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
452,201721050065,男,汉族,刑事司法学院,治安学,治安1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2018-05-04
453,1603080104,女,汉族,金融学院,投资学,投资1601,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
454,201821050172,女,汉族,刑事司法学院,公安学类,公安1805,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2018-10-26
455,201721130138,女,汉族,信息与安全工程学院,信息管理与信息系统,信管1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-06-08
456,201821070198,女,汉族,财政税务学院,财政学类,财政1805,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-13
457,201721040117,女,汉族,法学院,法学,法1701,院级,团学先进个人,优秀新闻工作者,法学院,2019-05-30
458,1609030154,女,藏族,信息与安全工程学院,信息管理与信息系统,信管1601,校级,团学先进个人,党校党员发展对象培训优秀学员,中共中南财经政法大学委员会党校,2018-12-21
459,201721100011,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
460,1609020111,女,汉族,统计与数学学院,统计学,统计1601,校级,团学先进个人,优秀学生通讯员,中南财经政法大学党委宣传部,2019-05-04
461,201821060274,女,汉族,工商管理学院,工商管理类,工商1808,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
462,1604000342,男,汉族,法学院,法学,法1603,院级,团学先进个人,校大运会院级综合表彰,各学院,2018-11-01
463,1612040224,男,汉族,新闻与文化传播学院,新闻学,新闻1601,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
464,201721060119,男,汉族,工商管理学院,市场营销,市营1702,校级,团学先进个人,党校党员发展对象培训优秀学员,中共中南财经政法大学委员会党校,2019-04-19
465,201721140028,男,汉族,哲学院,国际政治,国政1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
466,201721040088,男,汉族,法学院,法学,外法1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
467,1611060119,女,汉族,外国语学院,法语,法语1601,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-08
468,1604000319,女,汉族,法学院,法学,法1603,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
469,201721080259,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
470,201721130037,女,汉族,信息与安全工程学院,信息管理与信息系统,信管1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
471,1609050109,男,汉族,信息与安全工程学院,计算机科学与技术,计科1601,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
472,201721040114,女,汉族,法学院,法学,法制1702,院级,团学先进个人,校大运会院级综合表彰,各学院,2018-11-01
473,201721030447,女,汉族,金融学院,金融学,金融1702,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-28
474,201721040032,女,蒙古族,法学院,法学,法1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
475,201821090191,男,汉族,统计与数学学院,金融数学,金数1802,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
476,201721040265,男,汉族,法学院,法学,民商1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
477,201721070066,男,汉族,财政税务学院,财政学,财政1703,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-10-08
478,201821040255,女,汉族,法学院,法学类,法1807,院级,团学先进个人,校运会院级综合表彰,各学院,2018-11-16
479,1612090228,女,汉族,新闻与文化传播学院,数字媒体艺术,媒体1602,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-06
480,1604000142,男,汉族,法学院,法学,法1601,校级,团学先进个人,心理健康节优秀个人（优秀心理委员）,中南财经政法大学学生工作部,2019-06-14
481,201821030389,男,汉族,金融学院,金融学类,金融1801,院级,团学先进个人,优秀学生干事,各学院团委,2019-05-01
482,201721050062,女,汉族,刑事司法学院,侦查学,侦查1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
483,201721100192,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1701,校级,团学先进个人,优秀（先锋）共青团员,共青团中南财经政法大学委员会,2019-05-04
484,201821070185,男,汉族,财政税务学院,财政学类,财政1801,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-08
485,201821040219,男,汉族,法学院,法学类,法1811,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-23
486,201821040135,女,汉族,法学院,法学类,法1803,校级,团学先进个人,军训优秀学员,中南财经政法大学人武部,2018-09-20
487,201721080212,男,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1702,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-01
488,201721060290,女,土家族,工商管理学院,工商管理,工商1701,校级,团学先进个人,优秀（先锋）共青团员,共青团中南财经政法大学委员会,2019-05-04
489,201721060263,女,黎族,工商管理学院,市场营销,市营1701,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-05-04
490,1610010137,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1601,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
491,1603010246,女,拉祜族,金融学院,金融学,金融1602,院级,团学先进个人,金融学院-五四表彰-个人荣誉称号,金融学院,2019-05-04
492,201721100025,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1701,校级,团学先进个人,党校党员发展对象培训优秀学员,中共中南财经政法大学委员会党校,2018-12-06
493,201821320008,男,汉族,文澜学院,经济管理试验班,经管1801,校级,团学先进个人,党校党员发展对象培训优秀学员,中共中南财经政法大学委员会党校,2018-12-24
494,201821320052,女,汉族,文澜学院,经济管理试验班,经管1801,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
495,201721140193,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
496,1602010239,女,汉族,经济学院,经济学,经济1602,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
497,201721060521,女,汉族,工商管理学院,国际经济与贸易,国贸1701,校级,团学先进个人,心理健康节优秀个人（优秀心理委员）,中南财经政法大学学生工作部,2019-05-30
498,1611030120,女,汉族,外国语学院,日语,日语1601,校级,团学先进个人,党校党员发展对象培训优秀学员,中共中南财经政法大学委员会党校,2019-05-19
499,1609110136,女,汉族,统计与数学学院,应用统计学,应统1601,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
500,1611000229,女,汉族,外国语学院,英语,英语1602,校级,团学先进个人,优秀学生通讯员,中南财经政法大学党委宣传部,2019-05-04
501,1606080155,男,汉族,工商管理学院,农林经济管理,农经1601,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
502,1603140145,女,汉族,金融学院,工程造价,造价1601,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
503,201821020042,男,汉族,经济学院,经济学（实验）,经济实验1801,院级,优秀学生组织主要负责人,红旗团支部,各学院,2019-05-04
504,201821040576,女,汉族,法学院,法学类,法1810,院级,团学先进个人,校运会院级综合表彰,各学院,2018-11-08
505,1603140102,男,汉族,金融学院,工程造价,造价1601,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
506,201721060088,女,汉族,法学院,法学,法1704,校级,团学先进个人,优秀学生通讯员,中南财经政法大学党委宣传部,2019-05-04
507,201721040032,女,蒙古族,法学院,法学,法1701,院级,团学先进个人,校大运会院级综合表彰,各学院,2018-11-07
508,1606010120,女,汉族,工商管理学院,国际经济与贸易,国贸1601,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-25
509,201821080033,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1801,院级,团学先进个人,优秀学生干事,各学院团委,2019-05-04
510,1613030106,男,汉族,信息与安全工程学院,信息管理与信息系统（金融信息）,信管1602,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
511,201821120132,男,汉族,新闻与文化传播学院,新闻传播学类,新闻1803,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2018-12-06
512,201721040601,女,汉族,刑事司法学院,法学（司）,司法1702,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
513,1608010137,男,蒙古族,会计学院（会计硕士专业学位教育中心）,会计学,会计1601,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
514,201821040012,女,壮族,法学院,法学类,法1811,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-23
515,201721080129,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1702,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
516,201721040102,女,汉族,法学院,法学,法1705,校级,团学先进个人,优秀学生通讯员,中南财经政法大学党委宣传部,2019-05-04
517,201721030014,女,汉族,金融学院,金融学,金融1702,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2018-12-06
518,201721130212,女,汉族,财政税务学院,财政学（中英班）,国财1701,院级,团学先进个人,青年马克思主义者培养工程-优秀学员,共青团中央,2019-05-28
519,1603030114,女,汉族,金融学院,工程管理,工程1601,院级,团学先进个人,金融学院-五四表彰-个人荣誉称号,金融学院,2019-05-04
520,1606010138,女,汉族,工商管理学院,国际经济与贸易,国贸1601,院级,团学先进个人,榜样工商“十佳青年（团队）”,工商管理学院,2019-05-30
521,201721100025,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
522,201721040548,女,汉族,法学院,法学,法1710,院级,团学先进个人,校大运会院级综合表彰,各学院,2018-11-23
523,201821130171,女,汉族,信息与安全工程学院,计算机类,信息1803,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-23
524,1608030145,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1601,校级,团学先进个人,模范团干,共青团中南财经政法大学委员会,2019-05-04
525,1606020103,男,汉族,工商管理学院,贸易经济,贸经1601,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2018-12-12
526,201721070051,女,汉族,财政税务学院,财政学（中英班）,国财1701,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
527,201821040792,女,汉族,法学院,法学类,法1808,校级,团学先进个人,优秀学生干事,共青团中南财经政法大学委员会,2019-05-04
528,201721020202,女,汉族,经济学院,国际商务,国商1702,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
529,201721080071,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
530,201721110192,女,汉族,外国语学院,商务英语,商英1701,校级,团学先进个人,团校培训班,共青团中南财经政法大学委员会,2019-03-28
531,201721060375,女,汉族,工商管理学院,旅游管理,旅游1701,校级,团学先进个人,党校党员发展对象培训优秀学员,中共中南财经政法大学委员会党校,2019-04-19
532,201721140029,男,汉族,哲学院,国际政治,国政1701,院级,优秀学生组织主要负责人,哲学院-年度表彰-优秀集体,哲学院,2018-12-30
533,201821070100,女,汉族,财政税务学院,财政学类,财政1801,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
534,201821020010,女,汉族,经济学院,经济学（实验）,经济实验1801,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-08
535,1607030239,女,哈尼族,财政税务学院,税收学,税务1602,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
536,1608010339,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1603,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
537,201721040198,女,汉族,法学院,法学,民商1701,校级,团学先进个人,最美团支书,共青团中南财经政法大学委员会,2019-05-04
538,201721250175,男,汉族,中韩新媒体学院,视觉传达设计（动漫）,动漫1703,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
539,201821080302,男,土家族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1802,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-17
540,1606010137,女,汉族,工商管理学院,国际经济与贸易,国贸1601,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
541,201821040407,男,汉族,法学院,法学类,法1811,校级,团学先进个人,军训优秀学员,中南财经政法大学人武部,2018-10-26
542,201821090142,女,汉族,统计与数学学院,经济统计学,经统1801,院级,团学先进个人,综合表彰之优秀学生,各学院,2019-05-04
543,1604000414,女,汉族,法学院,法学,法1604,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
544,201821020229,女,汉族,经济学院,经济学,经济1803,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
545,201821070163,女,汉族,财政税务学院,财政学类,财政1801,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
546,1605020132,男,汉族,刑事司法学院,治安学,治安1601,院级,团学先进个人,刑事司法学院年度表彰之年度人物,共青团刑事司法学院委员会,2018-12-20
547,201721070182,男,汉族,财政税务学院,财政学,财政1703,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-01
548,201821060169,男,汉族,工商管理学院,经济与贸易类,经贸1802,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
549,201821040172,男,汉族,法学院,法学类,法1810,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-05-04
550,201821130099,女,汉族,信息与安全工程学院,计算机类,信息1803,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
551,201721120057,女,汉族,新闻与文化传播学院,数字媒体艺术,媒体1702,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-09
552,1612030123,女,汉族,新闻与文化传播学院,汉语言文学,中文1601,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-05
553,1609030138,女,汉族,信息与安全工程学院,信息管理与信息系统,信管1601,校级,团学先进个人,优秀（先锋）共青团员,共青团中南财经政法大学委员会,2019-05-08
554,201721020224,男,汉族,经济学院,经济学,经济1703,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
555,1602040214,男,汉族,经济学院,国际商务,国商1602,院级,优秀学生组织主要负责人,先进集体（班级）,各学院（综合表彰）,2019-05-10
556,201721090216,女,汉族,统计与数学学院,应用统计学,应统1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
557,201721040173,男,汉族,法学院,法学,民商1701,院级,团学先进个人,优秀新闻工作者,法学院,2018-11-22
558,1608020213,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1601,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
559,201721250082,女,汉族,中韩新媒体学院,电影学（影像）,影像1703,校级,团学先进个人,优秀（先锋）共青团员,共青团中南财经政法大学委员会,2019-04-12
560,1612040142,男,汉族,新闻与文化传播学院,广播电视学,广电1601,校级,团学先进个人,团学骨干培训班,共青团中南财经政法大学委员会,2019-05-04
561,201821080125,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1802,院级,团学先进个人,优秀学生干事,各学院团委,2019-05-04
562,201821030091,男,汉族,金融学院,管理科学与工程类,管工1801,院级,团学先进个人,优秀学生干事,各学院团委,2019-05-19
563,1609100110,男,汉族,统计与数学学院,经济统计学,经统1601,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
564,201821040506,男,汉族,法学院,法学类,法1803,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-09-06
565,1606010134,女,汉族,工商管理学院,国际经济与贸易,国贸1601,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-04
566,201821040024,男,汉族,法学院,法学类,法1804,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-23
567,201821060577,女,土家族,工商管理学院,经济与贸易类,经贸1801,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-06-20
568,1601020133,女,汉族,哲学院,国际政治,国政1601,校级,团学先进个人,优秀学生通讯员,中南财经政法大学党委宣传部,2019-05-08
569,201721120104,女,汉族,新闻与文化传播学院,数字媒体艺术,媒体1701,校级,团学先进个人,优秀（先锋）共青团员,共青团中南财经政法大学委员会,2019-04-06
570,201821040616,女,汉族,法学院,法学类,法1815,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
571,201721060467,女,满族,工商管理学院,管理科学,管科1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-25
572,201721080199,女,汉族,财政税务学院,财政学（中英班）,国财1701,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-05
573,201821070224,女,汉族,财政税务学院,财政学类,财政1804,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-06
574,201721110030,女,汉族,外国语学院,日语,日语1701,院级,团学先进个人,外国语学院-综合表彰-个人荣誉称号,共青团中南财经政法大学外国语学院分团委,2019-05-05
575,1611080324,女,汉族,外国语学院,商务英语,商英1603,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-05-04
576,1602040111,女,汉族,经济学院,经济学,经济1601,院级,优秀学生组织主要负责人,先进集体（班级）,各学院（综合表彰）,2019-05-04
577,201821040658,女,汉族,法学院,法学类,法1813,院级,团学先进个人,校大运会院级综合表彰,各学院,2018-11-07
578,201721060011,男,汉族,工商管理学院,农林经济管理,农经1701,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-03-07
579,201721110267,女,汉族,外国语学院,商务英语,商英1702,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-05-04
580,201721050174,女,汉族,刑事司法学院,侦查学,职侦1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
581,201821040792,女,汉族,法学院,法学类,法1808,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-04
582,1603010202,男,汉族,金融学院,金融学,金融1602,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-20
583,201821110264,女,汉族,外国语学院,外国语言文学类,英语1804,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
584,201721080253,男,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1702,校级,团学先进个人,团校培训班,共青团中南财经政法大学委员会,2019-09-09
585,201821040614,女,汉族,法学院,法学类,法1815,院级,团学先进个人,法学院-年度综合表彰-个人荣誉称号,法学院,2018-05-04
586,1609110123,女,汉族,统计与数学学院,应用统计学,应统1601,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
587,1610030116,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1601,省级,团学先进个人,青马工程-青年马克思主义者培养工程,共青团中央,2018-08-03
588,201721020270,男,土家族,经济学院,经济学,经济1704,院级,优秀学生组织主要负责人,红旗团支部,各学院,2019-05-04
589,201821120054,男,汉族,新闻与文化传播学院,新闻传播学类,新闻1801,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
590,201821050171,男,汉族,刑事司法学院,公安学类,公安1802,院级,优秀学生组织主要负责人,红旗团支部,各学院,2018-12-09
591,201721020215,女,汉族,经济学院,经济学,经济1702,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-05-04
